S.NO,PRICE,ADDRESS,AREA,LATITUDE,LONGITUDE,BEDROOMS,BATHROOMS,BALCONY,STATUS,NEWOROLD,PARKING,FURNISHED_STATUS,LIFT,LANDMARKS,TYPE_OF_BUILDING,PRICE_SQFT,AREA_TYPE,Zone_Raw
0,5600000,"Noida Extension, Noida, Delhi NCR",1350,28.60885,77.46056,3,3,2,Under Construction,New Property,1,Semi-Furnished,2,Not Mentioned,Flat,4148.148148,Large,Noida
1,8800000,"Sector 79, Gurgaon, Delhi NCR",1490,28.37423557,76.95241631,3,3,2,Ready to Move,New Property,1,Semi-Furnished,2,Not Mentioned,Flat,5906.040268,Large,Gurgaon
2,16500000,"Vaishali, Ghaziabad, Delhi NCR",2385,28.645769,77.38511,4,5,2,Ready to Move,New Property,1,Unfurnished,2,Not Mentioned,Flat,6918.238994,Very Large,Ghaziabad
3,3810000,"Link Road, F Block, Sector 50, Noida, Uttar Pradesh, Sector 1, Greater Noida, Delhi NCR",1050,28.566914,77.436434,2,2,3,Ready to Move,New Property,1,Unfurnished,2,near Gaur Mulberry Mansion,Flat,3628.571429,Medium,Greater Noida
4,6200000,"Jaypee Pavilion Court Sector 128, Noida, Sector 128, Noida, Delhi NCR",1350,28.520732,77.356491,2,2,3,Ready to Move,Resale,1,Semi-Furnished,3,Not Mentioned,Flat,4592.592593,Large,Noida
5,3700000,"tower 2, 6th floor, Crossings Republik, Ghaziabad, Delhi NCR",1150,28.62804,77.437809,2,2,3,Ready to Move,New Property,1,Semi-Furnished,2,Not Mentioned,Flat,3217.391304,Medium,Ghaziabad
6,3270000,"Nirala Aspire, GH03, Sector 16C, Hundal, Greater Noida, Uttar Pradesh 201306, Noida Extension Block C, Noida, Delhi NCR",890,28.610645,77.455837,2,2,3,Ready to Move,Resale,1,Semi-Furnished,2,"within 10km   Ryan,Sarvottam School, yathartha hospital ,city mall,",Flat,3674.157303,Small,Noida
7,3990000,"Suncity Avenue 102, Sector 102, Gurgaon Bang on Dwarka Expressway having all Facilities of a gated Society., Sector 102, Gurgaon, Delhi NCR",850,28.471233,76.969597,2,2,1,Ready to Move,Resale,1,Semi-Furnished,2,Suncity Avenue 102,Flat,4694.117647,Small,Gurgaon
8,3500000,"Sector 2, Greater Noida, Sector 2, Greater Noida, Delhi NCR",960,28.5814311,77.4528192,2,2,2,Ready to Move,Resale,1,Semi-Furnished,2,Not Mentioned,Flat,3645.833333,Small,Greater Noida
9,5500000,"Gaur City 5th Avenue, Noida Extension, Noida, Noida Extension, Noida, Delhi NCR",1400,28.614181,77.427713,3,3,4,Ready to Move,Resale,1,Semi-Furnished,2,"Gaur City Mall, Near Gaur Stadium, City Plaza Market, Bank's and ATM's",Flat,3928.571429,Large,Noida
10,7300000,"Sector 24 Rohini, New Delhi - Rohini, Delhi NCR",850,28.72407532,77.09558105,3,2,1,Ready to Move,New Property,2,Semi-Furnished,1,Near by shri jagannath mandir,Flat,8588.235294,Small,New Delhi - Rohini
11,7700000,"Gurgaon - Faridabad Road, Gurgaon, Delhi NCR",1250,28.436305,77.13605,2,2,2,Ready to Move,Resale,1,Semi-Furnished,2,Not Mentioned,Flat,6160,Medium,Gurgaon
12,10500000,"Sector 110A, Gurgaon, Chandan Vihar, Gurgaon, Delhi NCR",1615,28.51313972,77.0259552,3,3,3,Ready to Move,Resale,1,Unfurnished,2,"Dwarka Express way, Ansal Mall, Metro Hospitals, DPSG School etc.",Flat,6501.547988,Large,Gurgaon
13,7200000,"H-024, Gulshan Vivante, Sector-137, Noida, Sector 137, Noida, Delhi NCR",1200,28.50746138,77.40781667,2,2,3,Ready to Move,Resale,1,Semi-Furnished,2,Near Noida 137 Metro Station and Felix Hospital,Flat,6000,Medium,Noida
14,7000000,"G T Road, Ghaziabad, Delhi NCR",1690,28.679009,77.34929514,3,3,2,Ready to Move,Resale,1,Semi-Furnished,2,Not Mentioned,Flat,4142.011834,Very Large,Ghaziabad
15,9500000,"Sector 24 Rohini, New Delhi - Rohini, Delhi NCR",1000,28.72143555,77.10701752,3,2,1,Ready to Move,New Property,2,Semi-Furnished,1,Near by the sovereign school,Individual House,9500,Medium,New Delhi - Rohini
16,15000000,"Sector 24 Rohini, New Delhi - Rohini, Delhi NCR",1450,28.72721291,77.09606171,4,3,1,Ready to Move,New Property,2,Semi-Furnished,1,Near by shri jagannath mandir,Individual House,10344.82759,Large,New Delhi - Rohini
17,4800000,"Noida Extension, Noida, Delhi NCR",1175,28.61607805,77.42810225,2,2,2,Ready to Move,Resale,1,Semi-Furnished,2,Not Mentioned,Flat,4085.106383,Medium,Noida
18,5100000,"NeelPadam Kunj, Vaishali, Sector 1, Ghaziabad, Sector 1 Vaishali, Ghaziabad, Delhi NCR",1087,28.64431,77.33178711,2,2,2,Ready to Move,Resale,1,Semi-Furnished,2,Prime location surrounded by malls and hospitals along NH-58 near Dabar factory. In between Vaishali and Kaushambi metro stations and very close to Anand Vihar Railway Station.,Flat,4691.812328,Medium,Ghaziabad
19,14000000,"Sector 45, Noida, Sector 45, Noida, Delhi NCR",1845,28.54692971,77.35438729,3,3,3,Ready to Move,Resale,2,Semi-Furnished,2,noida expressway,Flat,7588.075881,Very Large,Noida
20,6250000,"Sector 37C, Gurgaon, Delhi NCR",1400,28.449384,76.98441,2,2,2,Ready to Move,New Property,1,Semi-Furnished,2,Not Mentioned,Flat,4464.285714,Large,Gurgaon
21,8700000,"Sushant Lok 2, Gurgaon, Delhi NCR",1600,28.423049,77.08741,3,2,1,Ready to Move,Resale,1,Unfurnished,2,near hongcong bazar,Flat,5437.5,Large,Gurgaon
22,13000000,"Sector 29, Noida, Delhi NCR",1950,28.56973716,77.33241167,3,3,2,Ready to Move,Resale,1,Semi-Furnished,2,Not Mentioned,Individual House,6666.666667,Very Large,Noida
23,15000000,"flat number 703, kalypso tower 4, jaypee wish town noida, sector 128, Sector 128, Noida, Delhi NCR",1800,28.529146,77.355843,2,3,1,Ready to Move,New Property,1,Semi-Furnished,2,Not Mentioned,Flat,8333.333333,Very Large,Noida
24,5500000,"Noida Extension, Noida., Noida Extension, Noida, Delhi NCR",1440,28.58749935,77.44316979,3,2,5,Ready to Move,Resale,1,Semi-Furnished,2,Property closed to hospital and 2km away from gaur chowk,Flat,3819.444444,Large,Noida
25,4200000,"Noida Extension, Noida, Noida Extension, Noida, Delhi NCR",1040,28.616204,77.422256,2,2,3,Ready to Move,Resale,2,Semi-Furnished,3,Nearest Gaur  chowk,Flat,4038.461538,Medium,Noida
26,3900000,"Noida extension., Noida Extension, Greater Noida, Delhi NCR",1025,28.57223,77.474898,2,2,3,Ready to Move,Resale,1,Semi-Furnished,2,10 km only metro noida 52.,Flat,3804.878049,Medium,Greater Noida
27,10000000,"Sector 16 Vasundhara, Ghaziabad, Delhi NCR",1836,28.6571606,77.355748,3,2,2,Ready to Move,Resale,1,Semi-Furnished,2,Not Mentioned,Individual House,5446.623094,Very Large,Ghaziabad
28,7600000,"Vaishali Ghaziabad, Vaishali, Ghaziabad, Delhi NCR",1350,28.645769,77.38511,3,2,4,Ready to Move,Resale,1,Semi-Furnished,3,Mahagun metro Mall,Flat,5629.62963,Large,Ghaziabad
29,3900000,"Sector 81, Gurgaon, Sector 81, Gurgaon, Delhi NCR",800,28.387731,76.96791987,2,2,1,Ready to Move,Resale,1,Semi-Furnished,2,Nh8.,Flat,4875,Small,Gurgaon
30,9000000,"sector 103 gurgaon, Dwarka Expressway, Gurgaon, Delhi NCR",1481,28.49744987,77.02709198,2,2,2,Ready to Move,Resale,2,Unfurnished,2,near gurgaon railway station,Flat,6076.975017,Large,Gurgaon
31,8350000,"lotus boulevard, Sector 100, Noida, Delhi NCR",1398,28.54341218,77.367853,2,2,2,Ready to Move,Resale,1,Semi-Furnished,3,near pathways school,Flat,5972.818312,Large,Noida
32,13500000,"Adhunik CGHS, Opp Tau Devil Lal Bio DiversitPark, Sector 52, Gurugram, Delhi NCR, Sector 52, Gurgaon, Delhi NCR",2150,28.43520877,77.09022523,3,3,4,Ready to Move,Resale,1,Semi-Furnished,2,Not Mentioned,Individual House,6279.069767,Very Large,Gurgaon
33,5310000,"Shakti Khand 2, Ghaziabad, Delhi NCR",1100,28.6467392,77.3709475,3,2,2,Ready to Move,Resale,1,Furnished,2,Not Mentioned,Flat,4827.272727,Medium,Ghaziabad
34,15000000,"Sector 68, Gurgaon, Delhi NCR",1960,28.3907304,77.05782257,3,3,2,Ready to Move,Resale,1,Semi-Furnished,2,Not Mentioned,Flat,7653.061224,Very Large,Gurgaon
35,17500000,"Sector 104, Gurgaon, Sector 104, Gurgaon, Delhi NCR",2450,28.482277,76.99199526,3,3,3,Ready to Move,New Property,2,Semi-Furnished,2,Bang on Dwarka Expressway,Flat,7142.857143,Very Large,Gurgaon
36,5000000,"Aspire1106, Sector 78, Noida, Delhi NCR",1000,28.5604873,77.384084,2,2,3,Ready to Move,Resale,1,Semi-Furnished,2,Not Mentioned,Flat,5000,Medium,Noida
37,3500000,"Gali No 9, Garhi Jharia Maria, New Delhi - South, Delhi NCR",850,28.55985069,77.24765015,2,2,1,Ready to Move,Resale,1,Furnished,2,Not Mentioned,Flat,4117.647059,Small,New Delhi - South
38,4550000,"Krishna Park Colony, New Delhi - South, Delhi NCR",950,28.50809,77.2314673,3,2,1,Ready to Move,New Property,1,Semi-Furnished,1,The proprty is located nearby vishal mega mart,Flat,4789.473684,Small,New Delhi - South
